name,link,image,labelimage,parentsite,sale,price,selling price, discount,additonal charges, category,keywords,description,short description
IWS Cotton Printed Double Bedsheet,http://www.flipkart.com/iws-cotton-printed-double-bedsheet/p/itme3hvsgtuu8v6c?pid=BDSE3HVSUJG9STZF&al=r2C8PWNyaAN2DmYW63ywasldugMWZuE7mxWx381qOwTF2nSfnRW%2FhMPTo1LfPUEXIqTnc%2FmUoF0%3D&ref=L%3A2598582783701241028&srno=b_2&affid=bhumitkat,http://img6a.flixcart.com/image/bedsheet/t/z/f/cb0000039-iws-flat-designer-400x400-imaeenrmkewj4bcc.jpeg,http://img6a.flixcart.com/image/bedsheet/t/z/f/cb0000039-iws-flat-designer-400x400-imaeenrmkewj4bcc.jpeg,www.flipkart.com,on,Rs. 1199,Rs. 499,58.0,Rs 40 Delivery,,	Home Furnishing	Bed Linen	Bedsheets	IWS Cotton Printed Double Bedsheet (1 Double Bed...,,Sheet Length: 230 cm
NanoNine Rio Chapati Pot Casserole,http://www.flipkart.com/nanonine-rio-chapati-pot-casserole/p/itmdyastvzmfc6te?pid=CRLDYASTFN7R2CJP&al=r2C8PWNyaAMNXZXPBie8KsldugMWZuE75aUsiwTbcEM%2FNJvLRlKER%2BTsRipISusIh%2BbZWN6iv84%3D&ref=L%3A3959085254936709448&srno=b_1&affid=bhumitkat,http://img5a.flixcart.com/image/casserole/c/j/p/ss086-nano-9-400x400-imadyb5cmrapfvqf.jpeg,http://img5a.flixcart.com/image/casserole/c/j/p/ss086-nano-9-400x400-imadyb5cmrapfvqf.jpeg,www.flipkart.com,on,Rs. 585,Rs. 349,40.0,Rs 40 Delivery,,	Kitchen & Dining	Cookware	Casserole & Sets	NanoNine Casserole & Sets	NanoNine Rio Chapati Pot Casserole (1150 ml),,Pack of 1	Thermoware Casserole
Praylady Green Apple Handi .500L L  .750L L  1.200L L  1.600L L,http://www.flipkart.com/praylady-green-apple-handi-500l-l-750l-1-200l-1-600l-l/p/itme9hux4yxray6q?pid=PTPE9HUXZDRPWSUY&al=r2C8PWNyaAMNXZXPBie8KsldugMWZuE7JTWSsYnGIuWwDAah5BDlRmJDXxD7XyBuMJrBo%2Bp8%2FcE%3D&ref=L%3A3959085254936709448&srno=b_2&affid=bhumitkat,http://img5a.flixcart.com/image/pot-pan/s/u/y/plss0159-praylady-400x400-imaebvk6tdeyamvm.jpeg,http://img5a.flixcart.com/image/pot-pan/s/u/y/plss0159-praylady-400x400-imaebvk6tdeyamvm.jpeg,www.flipkart.com,on,Rs. 792,Rs. 399,49.0,Rs 40 Delivery,,	Kitchen & Dining	Cookware	Pots & Pans	Kitchen Handi	Praylady Kitchen Handi	Praylady Green Apple Handi .500L L, .750L L, 1.2...,,Induction Bottom	Handi	Pack of 4
Kelvinator KSP252FRC 245 L Double Door Refrigerator,http://www.flipkart.com/kelvinator-ksp252frc-245-l-double-door-refrigerator/p/itmeakwtavzzkgq4?pid=RFREAKWTHG4PGZT7&al=r2C8PWNyaAOUF7PSo7Njy8ldugMWZuE7%2BW7da8XnwKTV%2FMUkIUibS5ZCwI8H1cDOudAvZ2R%2FvqE%3D&ref=L%3A-6396171051870960641&srno=b_1&affid=bhumitkat,http://img5a.flixcart.com/image/refrigerator-new/z/t/7/kelvinator-ksp252frp-400x400-imaebf29au4z7y8z.jpeg,http://img5a.flixcart.com/image/refrigerator-new/z/t/7/kelvinator-ksp252frp-400x400-imaebf29au4z7y8z.jpeg,www.flipkart.com,on,Rs. 21990,Rs. 14990,31.0,no additional charges,,	Home & Kitchen	Home Appliances	Refrigerators	Kelvinator Refrigerators	Kelvinator KSP252FRC 245 L Double Door Refrigera...,,2 Star Rating	Frost Free	Color: Red Creeper	Top Freezer Refrigerator
LG GL-B292SGSM 258 L Double Door Refrigerator,http://www.flipkart.com/lg-gl-b292sgsm-258-l-double-door-refrigerator/p/itme5sgwkz4hfgru?pid=RFRE5SGWU8JZ3YQJ&al=r2C8PWNyaAP7nHqqpjSFcMldugMWZuE7%2BW7da8XnwKTVVBgweqd6K7RKx76amMPNLNMdReq2LEY%3D&ref=L%3A-6396171051870960641&srno=b_2&affid=bhumitkat,http://img6a.flixcart.com/image/refrigerator-new/y/q/j/lg-gl-b292sgsm-agszebn-400x400-imae6xhehmhmsady.jpeg,http://img6a.flixcart.com/image/refrigerator-new/y/q/j/lg-gl-b292sgsm-agszebn-400x400-imae6xhehmhmsady.jpeg,www.flipkart.com,on,Rs. 22290,Rs. 18990,14.0,no additional charges,,	Home & Kitchen	Home Appliances	Refrigerators	LG Refrigerators	LG GL-B292SGSM 258 L Double Door Refrigerator (G...,,3 Star Rating	Frost Free	Color: Graphite Steel	Top Freezer Refrigerator
Calvin Klein IN2U EDT - 100 ml,http://www.flipkart.com/calvin-klein-in2u-edt-100-ml/p/itme3vvjgbamtczy?pid=PERD8AYGTYNFFCZS&al=r2C8PWNyaAMqXI6l0S4mLMldugMWZuE7JTWSsYnGIuV68FKJsOMbg8L0MWpsR4b%2F6UOLsJ37Fzo%3D&ref=L%3A-8998407728921490911&srno=b_1&affid=bhumitkat,http://img5a.flixcart.com/image/perfume/c/z/s/eau-de-toilette-women-calvin-klein-100-in2u-400x400-imadayzux7qbkcux.jpeg,http://img5a.flixcart.com/image/perfume/c/z/s/eau-de-toilette-women-calvin-klein-100-in2u-400x400-imadayzux7qbkcux.jpeg,www.flipkart.com,on,Rs. 3200,Rs. 1700,46.0,no additional charges,,	Beauty and Personal Care	Fragrances	Perfumes	Calvin Klein Perfumes	Calvin Klein IN2U EDT - 100 ml (For Women),,Family:Oriental Floral	Feminine Fragrance
Davidoff Cool Water EDT - 100 ml,http://www.flipkart.com/davidoff-cool-water-edt-100-ml/p/itme3vv7nhdgfcnj?pid=PERD8DHUQECBM5VE&al=r2C8PWNyaAMqXI6l0S4mLMldugMWZuE7JTWSsYnGIuUeXo9MSw4k%2Bim4Ip5nnMmqNX1KCZhCUMw%3D&ref=L%3A-8998407728921490911&srno=b_2&affid=bhumitkat,http://img5a.flixcart.com/image/perfume/5/v/e/eau-de-toilette-women-davidoff-100-cool-water-400x400-imadjbnuzcxzdbuh.jpeg,http://img5a.flixcart.com/image/perfume/5/v/e/eau-de-toilette-women-davidoff-100-cool-water-400x400-imadjbnuzcxzdbuh.jpeg,www.flipkart.com,on,Rs. 4550,Rs. 1444,68.0,no additional charges,,	Beauty and Personal Care	Fragrances	Perfumes	Davidoff Perfumes	Davidoff Cool Water EDT - 100 ml (For Women),,Feminine Fragrance	Family: Aquatic
Alan Woods Slim Fit Men's Jeans,http://www.flipkart.com/alan-woods-slim-fit-men-s-jeans/p/itme8h55gyv6ztnq?pid=JEAE8H55GPPNY7H3&al=r2C8PWNyaANh3z5DRbV%2B5sldugMWZuE7%2FLHTI2SOE0ZHXiEGD68uUB2NtN%2FwEtZlnhImgoBv%2BVE%3D&ref=L%3A7699898461783801991&srno=b_1&affid=bhumitkat,http://img6a.flixcart.com/image/jean/k/g/w/awzb10-alan-woods-36-400x400-imae89zwsnrgzkcg.jpeg,http://img6a.flixcart.com/image/jean/k/g/w/awzb10-alan-woods-36-400x400-imae89zwsnrgzkcg.jpeg,www.flipkart.com,on,Rs. 1399,Rs. 598,57.0,no additional charges,,	Clothing	Men's Clothing	Jeans	Alan Woods Jeans	Alan Woods Slim Fit Men's Jeans,,Inseam: 33.5 inch	Rise: Mid Rise	Color: Black	Fit: Slim
Bigidea Striped Men's Henley T-Shirt,http://www.flipkart.com/bigidea-striped-men-s-henley-t-shirt/p/itmeanyggum6scvn?pid=TSHEANYHDUVHUXUG&al=r2C8PWNyaANh3z5DRbV%2B5sldugMWZuE7wkNiXfq8GiQhKWFITfr2dQnlOzrParKtCO65gf8PKVo%3D&ref=L%3A7699898461783801991&srno=b_2&affid=bhumitkat,http://img5a.flixcart.com/image/t-shirt/a/j/e/sr37-bigidea-l-400x400-imaeamxhtykb3hht.jpeg,http://img5a.flixcart.com/image/t-shirt/a/j/e/sr37-bigidea-l-400x400-imaeamxhtykb3hht.jpeg,www.flipkart.com,on,Rs. 800,Rs. 315,60.0,Rs 70 Delivery,,	Clothing	Men's Clothing	T-Shirts	Bigidea T-Shirts	Bigidea Striped Men's Henley T-Shirt,,
GS Smart Men Casual Shoes,http://www.flipkart.com/gs-smart-men-casual-shoes/p/itme8jv7zrgnnych?pid=SHOE8JV7YHNUFR78&al=r2C8PWNyaAP3JFKyHRCrZcldugMWZuE7eGHgUTGjVrroU1mFh0DgWwJGPzKVoMR2KzaQt8MnI9Q%3D&ref=L%3A-6776159481676807541&srno=b_1&affid=bhumitkat,http://img5a.flixcart.com/image/shoe/2/2/7/blue-ss002-gs-10-400x400-imae4zqgvqmyaxmb.jpeg,http://img5a.flixcart.com/image/shoe/2/2/7/blue-ss002-gs-10-400x400-imae4zqgvqmyaxmb.jpeg,www.flipkart.com,on,Rs. 1299,Rs. 499,61.0,no additional charges,,	Footwear	Men's Footwear	Casual Shoes	GS Casual Shoes	GS Smart Men Casual Shoes,,Comfortable	Best Quality	Stylish	Durable
